,Contract,Title,Type of contract,Short description,Total value,Place of performance,Contractor,Notice dispatch date,Short description tokenized
54,077715-2018,Framework contract for the supply of handheld thermal cameras,SUPPLIES,Supply of handheld thermal cameras.,1250000.0,PL91,['OPTIX JSC'],2018-02-14,supply handheld thermal camera
55,078764-2020,Framework Contract for Provision of Interpretation and Cultural Expertise Services,SERVICES,"The subject of the contract is to establish multiple framework contracts in cascade for the provision of reliable, flexible and high quality language and cultural expertise services supporting Frontex operational activities, as described in Annex II terms of reference.",25000000.0,00,"['Centro Informazione e Educazione Allo Sviluppo Onlus', 'Seprotec Traduccion e Intepretacion Sociedad Limitada']",2020-02-11,subject contract establish multiple framework contract cascade provision reliable flexible high quality language cultural expertise service support frontex operational activity describe annex ii term reference
56,078764-2020,Framework Contract for Provision of Interpretation and Cultural Expertise Services,SERVICES,"The subject of the contract is to establish multiple framework contracts in cascade for the provision of reliable, flexible and high quality language and cultural expertise services supporting Frontex operational activities, as described in Annex II terms of reference.",25000000.0,00,"[""ITC — Interpreti e Traduttori in Cooperativa Societa' Cooperativa""]",2020-02-11,subject contract establish multiple framework contract cascade provision reliable flexible high quality language cultural expertise service support frontex operational activity describe annex ii term reference
57,078764-2020,Framework Contract for Provision of Interpretation and Cultural Expertise Services,SERVICES,"The subject of the contract is to establish multiple framework contracts in cascade for the provision of reliable, flexible and high quality language and cultural expertise services supporting Frontex operational activities, as described in Annex II terms of reference.",25000000.0,00,['Solten France Societe a Responsabilite Limitee'],2020-02-11,subject contract establish multiple framework contract cascade provision reliable flexible high quality language cultural expertise service support frontex operational activity describe annex ii term reference
58,078764-2020,Framework Contract for Provision of Interpretation and Cultural Expertise Services,SERVICES,"The subject of the contract is to establish multiple framework contracts in cascade for the provision of reliable, flexible and high quality language and cultural expertise services supporting Frontex operational activities, as described in Annex II terms of reference.",25000000.0,00,['Synergasia Cooperativa Sociale Onlus'],2020-02-11,subject contract establish multiple framework contract cascade provision reliable flexible high quality language cultural expertise service support frontex operational activity describe annex ii term reference
59,078764-2020,Framework Contract for Provision of Interpretation and Cultural Expertise Services,SERVICES,"The subject of the contract is to establish multiple framework contracts in cascade for the provision of reliable, flexible and high quality language and cultural expertise services supporting Frontex operational activities, as described in Annex II terms of reference.",25000000.0,00,['Pinpoint Corporate Services Ltd'],2020-02-11,subject contract establish multiple framework contract cascade provision reliable flexible high quality language cultural expertise service support frontex operational activity describe annex ii term reference
60,086445-2020,Remote Assessment of English Language Skills,SERVICES,"The contractor shall be required to provide a solution for a remote assessment of all general English language skills: listening, speaking, reading and writing at a B2 level CEFR (Common European Framework of Reference for Languages). Frontex intends to procure approximately 12 000 computer based tests in measuring the proficiency level in reading, writing, listening and spoken English, aligned to CEFR, delivered on demand, remotely online during the prospective contract duration of max. 4 years. The detailed description of the tasks and deliverables is provided in the terms of reference (Annex II to the invitation to tender).",200000.0,PL911,['The Bridge – English Language Centre s.r.o.'],2020-02-14,contractor shall require provide solution remote assessment general english language skill listening speaking reading writing b2 level cefr common european framework reference languages frontex intend procure approximately 12 000 computer base test measuring proficiency level reading writing listening speak english align cefr deliver demand remotely online prospective contract duration max . 4 year detailed description task deliverable provide term reference annex ii invitation tender
61,101568-2021,Single Framework Contract for Satellite Imagery Provisioning,SERVICES,The main objective of this FWC is systematic access to the services of optical satellite imagery provisioning to support the achievement of the Frontex’ operational objectives.,4000000.0,PL,['GAF AG'],2021-02-22,main objective fwc systematic access service optical satellite imagery provisioning support achievement frontex operational objective
62,103858-2021,Provision of Fuel Cards Services and Associated Services for Frontex Vehicles in European Union (excluding Malta and Cyprus),SERVICES,Provision of fuel cards and associated services for Frontex vehicles based on no-cash operations in European Union (excluding Malta and Cyprus).,,AT,,2021-02-23,provision fuel card associate service frontex vehicle base cash operation european union exclude malta cyprus
63,103858-2021,"Provision of fuel Cards and Associated Services for Frontex Vehicles Based on No-cash Operations in Montenegro, Serbia and Turkey",SERVICES,"Provision of fuel cards and associated services for Frontex vehicles based on no-cash operations in Montenegro, Serbia and Turkey.",,TR,,2021-02-23,provision fuel card associate service frontex vehicle base cash operation montenegro serbia turkey
64,106392-2014,Pilot project on purchasing of aerial surveillance service for Frontex coordinated operational activities 2014.,SERVICES,Provision of the necessary technical equipment and staff to perform aerial surveillance at the south-eastern external EU land border.,270000.0,,['Diamond-Executive Aviation'],2014-03-19,provision necessary technical equipment staff perform aerial surveillance south eastern external eu land border
65,109763-2018,Framework contract for the supply of heart beat detectors,SUPPLIES,Supply of heart beat detectors (HBD).,100000.0,PL91,['Optexim AD'],2018-03-06,supply heart beat detector hbd
66,109766-2018,"Framework contract for external quality assurance, accreditation and institutional review",SERVICES,As in point II.1.4 above.,1400000.0,PL911,['City & Guilds of London Institute'],2018-03-06,point ii.1.4
67,111256-2017,Framework contract for the provision of passenger transfer services by land — Kos island.,SERVICES,"Framework contract for the provision of passenger transfer services by land, by bus — Greece, Kos island. The services are needed in support to law enforcement operational activities. The services are mainly associated with the corresponding transfers by sea between a designated port of departure in Greece and a designated port of arrival in Greece/Turkey.",,GR,,2017-03-15,framework contract provision passenger transfer service land bus greece kos island service need support law enforcement operational activity service mainly associate correspond transfer sea designate port departure greece designate port arrival greece / turkey
68,114724-2015,Technical equipment and live streaming,SERVICES,Procurement of various services to organise the European day for border guards (ED4BG) event on 21.5.2015 for ca 800 participants: lot 2 — technical equipment and live streaming.,,PL127,['Events Center Creative Agency Koczur Krzysztof'],2015-03-24,procurement service organise european day border guard ed4bg event 21.5.2015 800 participant lot 2 technical equipment live streaming
69,114725-2015,Provision of dinner,SERVICES,Procurement of various services to organise the European day for border guards (ED4BG) event on 21.5.2015 for ca 800 participants: lot 3 — provision of dinner.,,PL127,['Belvedere — Cafe Łazienki Królewskie Sp. z o.o.'],2015-03-24,procurement service organise european day border guard ed4bg event 21.5.2015 800 participant lot 3 provision dinner
70,118656-2018,Maritime area aerial surveillance,SERVICES,Amendment to framework contract Lot 1 — raising of budgetary ceiling of the FWC of 6 000 000 EUR in accordance with provisions of Article 134.1.e) of RAP.,14500000.0,00,['Diamond-Executive Aviation Ltd'],2018-03-05,amendment framework contract lot 1 raising budgetary ceiling fwc 6 000 000 eur accordance provision article 134.1.e rap
71,118656-2018,Maritime area aerial surveillance,SERVICES,Amendment to framework contract Lot 1 — raising of budgetary ceiling of the FWC of 6 000 000 EUR in accordance with provisions of Article 134.1.e) of RAP.,14500000.0,00,['CAE Aviation Sarl'],2018-03-05,amendment framework contract lot 1 raising budgetary ceiling fwc 6 000 000 eur accordance provision article 134.1.e rap
72,118656-2018,Maritime Area Aerial Surveillance,SERVICES,Amendment to framework contract Lot 1 — raising of budgetary ceiling of the FWC of 6 000 000 EUR in accordance with provisions of Article 134.1.e) of RAP.,14500000.0,00,['EASP Air BV'],2018-03-05,amendment framework contract lot 1 raising budgetary ceiling fwc 6 000 000 eur accordance provision article 134.1.e rap
73,118656-2018,Maritime Area Aerial Surveillance,SERVICES,Amendment to framework contract Lot 1 — raising of budgetary ceiling of the FWC of 6 000 000 EUR in accordance with provisions of Article 134.1.e) of RAP.,14500000.0,00,['Indra Sistemas SA'],2018-03-05,amendment framework contract lot 1 raising budgetary ceiling fwc 6 000 000 eur accordance provision article 134.1.e rap
74,11967-2015,Framework contract for provision of cleaning services for Frontex headquarters.,SERVICES,Frontex concluded a single framework contract with a professional and experienced cleaning services provider in order to ensure cleanliness on a daily basis at Frontex premises of approximately 14 000 square metres.,530000.0,PL127,['Ever Grupa Sp. z o.o.'],2015-01-05,frontex conclude single framework contract professional experienced cleaning service provider order ensure cleanliness daily basis frontex premise approximately 14 000 square metre
75,120796-2019,Returns by Scheduled Flights supported by Frontex,SERVICES,Returns by scheduled flights supported by Frontex,30000000.0,PL,['eTravel SA'],2019-03-10,return schedule flight support frontex
76,125034-2020,MSS with Thermal Camera Based on Pick-up Vehicle,SUPPLIES,"First specific contracts are expected to be issued by Frontex in 2020. For the total duration of the framework contract, Frontex intends to make an indicative number of orders for 20 vehicles under lot 1.",8000000.0,00,"['Opticoelectron Group JSCo', 'Dat-Con d.o.o.']",2020-03-09,specific contract expect issue frontex 2020 total duration framework contract frontex intend indicative number order 20 vehicle lot 1
77,125845-2019,Short Notice Missions,SERVICES,"Provision for Frontex the chartered aircraft, properly manned, maintained, equipped, fuelled and fully insured, in order to carry out the short notice return flights.",3000000.0,00,"['Air Charter Service Ltd', 'AS Aircontact']",2019-03-12,provision frontex charter aircraft properly man maintain equip fuel fully insure order carry short notice return flight
78,125845-2019,Planned Missions,SERVICES,,,,,2019-03-12,
79,127371-2020,MSS with Thermal Camera and a Radar Based on Van,SUPPLIES,"First specific contracts are expected to be issued by Frontex in 2020. For the total duration of the framework contract, Frontex intends to make an indicative number of orders for 15 vehicles under lot 3.",8000000.0,00,"['Dat-Con d.o.o.', 'Opticoelectron Group JSCo']",2020-03-10,specific contract expect issue frontex 2020 total duration framework contract frontex intend indicative number order 15 vehicle lot 3
80,131551-2017,Mobile telecommunication services and equipment,SERVICES,"The subject of the prospective framework contract shall be performance of mobile telecommunication services and data transfer services, as well as delivery of mobile telecommunication equipment, for Frontex HQ in Warsaw, Poland.",8954400.0,PL127,['Polkomtel Sp. z o.o.'],2017-03-29,subject prospective framework contract shall performance mobile telecommunication service data transfer service delivery mobile telecommunication equipment frontex hq warsaw poland
81,132816-2019,Land Aerial Surveillance,SERVICES,"The global objective of this tender is to enable Frontex and EFCA to have at their disposal aerial surveillance equipment, with a high level of deployability and availability that should permit these agencies to cover their requirements for operational surveillance capability. The scope of this tender is to establish a Framework Contract (FWC) with re-opening of competition, in order to acquire Manned Aerial Surveillance Services, which should include assets and experts. Frontex and EFCA seek medium term cooperation with a maximum of 10 Contractors providing Aerial Surveillance in each of the Lots of the FWC, offering the best “value for money”, and able to sustain readiness for cost-efficient surveillance services along the duration of the FWC.",1500000.0,00,"['CAE Aviation', 'DEA Aviation Ltd', 'Airborne Technologies GmbH', 'Fly4Less Kft']",2019-03-12,global objective tender enable frontex efca disposal aerial surveillance equipment high level deployability availability permit agency cover requirement operational surveillance capability scope tender establish framework contract fwc - opening competition order acquire manned aerial surveillance services include asset expert frontex efca seek medium term cooperation maximum 10 contractor provide aerial surveillance lot fwc offer good value money able sustain readiness cost efficient surveillance service duration fwc
82,132816-2019,Coastal — Aerial Surveillance,SERVICES,"The global objective of this tender is to enable Frontex and EFCA to have at their disposal aerial surveillance equipment, with a high level of deployability and availability that should permit these agencies to cover their requirements for operational surveillance capability. The scope of this tender is to establish a Framework Contract (FWC) with re-opening of competition, in order to acquire Manned Aerial Surveillance Services, which should include assets and experts. Frontex and EFCA seek medium term cooperation with a maximum of 10 Contractors providing Aerial Surveillance in each of the Lots of the FWC, offering the best “value for money”, and able to sustain readiness for cost-efficient surveillance services along the duration of the FWC.",2500000.0,00,"['CAE Aviation', 'DEA Aviation Ltd']",2019-03-12,global objective tender enable frontex efca disposal aerial surveillance equipment high level deployability availability permit agency cover requirement operational surveillance capability scope tender establish framework contract fwc - opening competition order acquire manned aerial surveillance services include asset expert frontex efca seek medium term cooperation maximum 10 contractor provide aerial surveillance lot fwc offer good value money able sustain readiness cost efficient surveillance service duration fwc
83,132816-2019,Mid-Range Maritime Aerial Surveillance with Providing of Information via Remote Mission Portal and Sharing of Compiled Operational Picture,SERVICES,"The global objective of this tender is to enable Frontex and EFCA to have at their disposal aerial surveillance equipment, with a high level of deployability and availability that should permit these agencies to cover their requirements for operational surveillance capability. The scope of this tender is to establish a Framework Contract (FWC) with re-opening of competition, in order to acquire Manned Aerial Surveillance Services, which should include assets and experts. Frontex and EFCA seek medium term cooperation with a maximum of 10 Contractors providing Aerial Surveillance in each of the Lots of the FWC, offering the best “value for money”, and able to sustain readiness for cost-efficient surveillance services along the duration of the FWC.",4300000.0,00,"['CAE Aviation', 'DEA Aviation Ltd', 'EASP Air BV']",2019-03-12,global objective tender enable frontex efca disposal aerial surveillance equipment high level deployability availability permit agency cover requirement operational surveillance capability scope tender establish framework contract fwc - opening competition order acquire manned aerial surveillance services include asset expert frontex efca seek medium term cooperation maximum 10 contractor provide aerial surveillance lot fwc offer good value money able sustain readiness cost efficient surveillance service duration fwc
84,132816-2019,Long-Range Maritime Aerial Surveillance with Providing of Information via Remote Mission Portal and Sharing of Compiled Operational Picture,SERVICES,"The global objective of this tender is to enable Frontex and EFCA to have at their disposal aerial surveillance equipment, with a high level of deployability and availability that should permit these agencies to cover their requirements for operational surveillance capability. The scope of this tender is to establish a Framework Contract (FWC) with re-opening of competition, in order to acquire Manned Aerial Surveillance Services, which should include assets and experts. Frontex and EFCA seek medium term cooperation with a maximum of 10 Contractors providing Aerial Surveillance in each of the Lots of the FWC, offering the best “value for money”, and able to sustain readiness for cost-efficient surveillance services along the duration of the FWC.",5200000.0,00,"['CAE Aviation', 'DEA Aviation Ltd', 'EASP Air BV']",2019-03-12,global objective tender enable frontex efca disposal aerial surveillance equipment high level deployability availability permit agency cover requirement operational surveillance capability scope tender establish framework contract fwc - opening competition order acquire manned aerial surveillance services include asset expert frontex efca seek medium term cooperation maximum 10 contractor provide aerial surveillance lot fwc offer good value money able sustain readiness cost efficient surveillance service duration fwc
85,132816-2019,Mid-Range Maritime Aerial Surveillance with Live Streaming of Raw Data,SERVICES,"The global objective of this tender is to enable Frontex and EFCA to have at their disposal aerial surveillance equipment, with a high level of deployability and availability that should permit these agencies to cover their requirements for operational surveillance capability. The scope of this tender is to establish a Framework Contract (FWC) with re-opening of competition, in order to acquire Manned Aerial Surveillance Services, which should include assets and experts. Frontex and EFCA seek medium term cooperation with a maximum of 10 Contractors providing Aerial Surveillance in each of the Lots of the FWC, offering the best “value for money”, and able to sustain readiness for cost-efficient surveillance services along the duration of the FWC.",9000000.0,00,"['CAE Aviation', 'DEA Aviation', 'EASP Air BV']",2019-03-12,global objective tender enable frontex efca disposal aerial surveillance equipment high level deployability availability permit agency cover requirement operational surveillance capability scope tender establish framework contract fwc - opening competition order acquire manned aerial surveillance services include asset expert frontex efca seek medium term cooperation maximum 10 contractor provide aerial surveillance lot fwc offer good value money able sustain readiness cost efficient surveillance service duration fwc
86,132816-2019,Long-Range Maritime Aerial Surveillance with Live Streaming of Raw Data,SERVICES,"The global objective of this tender is to enable Frontex and EFCA to have at their disposal aerial surveillance equipment, with a high level of deployability and availability that should permit these agencies to cover their requirements for operational surveillance capability. The scope of this tender is to establish a Framework Contract (FWC) with re-opening of competition, in order to acquire Manned Aerial Surveillance Services, which should include assets and experts. Frontex and EFCA seek medium term cooperation with a maximum of 10 Contractors providing Aerial Surveillance in each of the Lots of the FWC, offering the best “value for money”, and able to sustain readiness for cost-efficient surveillance services along the duration of the FWC.",4500000.0,00,"['CAE Aviation', 'DEA Aviation', 'EASP Air BV']",2019-03-12,global objective tender enable frontex efca disposal aerial surveillance equipment high level deployability availability permit agency cover requirement operational surveillance capability scope tender establish framework contract fwc - opening competition order acquire manned aerial surveillance services include asset expert frontex efca seek medium term cooperation maximum 10 contractor provide aerial surveillance lot fwc offer good value money able sustain readiness cost efficient surveillance service duration fwc
87,135084-2021,Entry Exit System Land Border Pilot in Bulgaria,SERVICES,"The Pilot will be developed in two phases, the first phase to be executed after the contract signature; second phase will be executed conditional to Frontex’ positive assessment of the first phase results and subject to Frontex’ explicit written request to proceed. The technology to be developed in the pilot consist of the design of a ‘core deployable border control and EES system’ (thereafter ‘core-system’); its manufacture, testing, deployment, user training, interfacing with Host country system, supporting operationalization for a fixed time period, as well as dismantling and disposing of the system after the duration of the Pilot. The core-system shall support the border crossing and EES registration (based on travel document; face and 4 finger prints) of Third Country nationals using a combination of self-enrolment kiosks and biometric gates. The secure linkage (closed connection) and communication with the national border control systems, performing border checks on all travellers and EES registration/verification on third country nationals, would be done jointly by the Contractor and the Host MS (Bulgaria).",464587.12,BG,['VISION BOX -SOLUCOES DE VISAO PORCOMPUTADOR SA'],2021-03-09,pilot develop phase phase execute contract signature second phase execute conditional frontex positive assessment phase result subject frontex explicit write request proceed technology develop pilot consist design core deployable border control ees system core system manufacture testing deployment user training interfacing host country system support operationalization fix time period dismantle dispose system duration pilot core system shall support border crossing ees registration base travel document face 4 finger print country national use combination self enrolment kiosk biometric gate secure linkage close connection communication national border control system performing border check traveller ees registration / verification country national jointly contractor host ms bulgaria
88,135084-2021,Entry Exit System Land Border Pilot in Spain,SERVICES,"The Pilot will be developed in two phases, the first phase to be executed after the contract signature; second phase will be executed conditional to Frontex’ positive assessment of the first phase results and subject to Frontex’ explicit written request to proceed. The technology to be developed in the pilot consist of the design of a ‘core deployable border control and EES system’ (thereafter ‘core-system’); its manufacture, testing, deployment, user training, interfacing with Host country system, supporting operationalization for a fixed time period, as well as dismantling and disposing of the system after the duration of the Pilot. The core-system shall support the border crossing and EES registration (based on travel document; face and 4 finger prints) of Third Country nationals using a combination of self-enrolment kiosks and biometric gates. The secure linkage (closed connection) and communication with the national border control systems, performing border checks on all travellers and EES registration/verification on third country nationals, would be done jointly by the Contractor and the Host MS (Spain).",693000.0,ES,['EVERIS AEROESPACIAL Y DEFENSA SL'],2021-03-09,pilot develop phase phase execute contract signature second phase execute conditional frontex positive assessment phase result subject frontex explicit write request proceed technology develop pilot consist design core deployable border control ees system core system manufacture testing deployment user training interfacing host country system support operationalization fix time period dismantle dispose system duration pilot core system shall support border crossing ees registration base travel document face 4 finger print country national use combination self enrolment kiosk biometric gate secure linkage close connection communication national border control system performing border check traveller ees registration / verification country national jointly contractor host ms spain
89,135087-2016,Framework service contract for the provision of language courses for Frontex staff.,SERVICES,"The scope of the contract covers the provision of language courses (English, French, German, Spanish and Polish) for Frontex staff. The objective of the courses is to improve the language skills of Frontex employees and to prepare them to take part in internationally recognised language exams.",200000.0,PL127,['Poliglota Sp. z o.o.'],2016-04-08,scope contract cover provision language course english french german spanish polish frontex staff objective course improve language skill frontex employee prepare internationally recognise language exam
90,135087-2016,Framework service contract for the provision of language courses for Frontex staff.,SERVICES,"The scope of the contract covers the provision of language courses (English, French, German, Spanish and Polish) for Frontex staff. The objective of the courses is to improve the language skills of Frontex employees and to prepare them to take part in internationally recognised language exams.",50000.0,PL127,['FES Centrum Edukacji Zagranicznej Andrzej Nowak'],2016-04-08,scope contract cover provision language course english french german spanish polish frontex staff objective course improve language skill frontex employee prepare internationally recognise language exam
91,148655-2015,"Stage design, photo exhibition and stands arrangements",SERVICES,"Procurement of various services to organise the European day for border guards (ED4BG) event on 21.5.2015 for ca 800 participants: lot 4 — stage design, photo exhibition and stands arrangements.",,PL127,['Events Center Creative Agency Krzysztof Koczur'],2015-04-20,procurement service organise european day border guard ed4bg event 21.5.2015 800 participant lot 4 stage design photo exhibition stand arrangement
92,156158-2014,"Framework contract for development of SharePoint-based intranet, document management system and related services.",SERVICES,"The scope of the contract covers: delivery of resources and services to build a Microsoft SharePoint-based Frontex intranet system and document management system, its maintenance and continuous development and provision of related services.",,PL127,['Events Center Creative Agency Krzysztof Koczur'],2014-04-30,scope contract cover delivery resource service build microsoft sharepoint base frontex intranet system document management system maintenance continuous development provision related service
93,158704-2021,Leasing or Long-term Lease of Four-Wheel Drive/Automatic Wheel Drive Vehicles with Off-road Capabilities and Associated services for Frontex Operational Activities,SUPPLIES,Leasing or long-term lease of four-wheel drive/AWD vehicles with off-road capabilities and associated services for Frontex operational activities.,3500000.0,PL911,"['Dom Volvo Car Sp. z o.o.', 'Mleasing Sp. z o.o.']",2021-03-24,leasing long term lease wheel drive / awd vehicle road capability associate service frontex operational activity
94,158704-2021,Leasing or Long-term Lease of Multi-Purpose Vehicles and Associated Services for Frontex Operational Activities,SUPPLIES,Leasing or long-term lease of multi-purpose vehicles (MPV) and associated services for Frontex operational activities.,1500000.0,PL911,"['Dom Volvo Car Sp. z o.o.', 'Mleasing Sp. z o.o.']",2021-03-24,leasing long term lease multi - purpose vehicle mpv associate service frontex operational activity
95,159852-2017,Trial of remotely piloted aircraft system (RPAS) for maritime aerial surveillance,SERVICES,"With this contract Frontex seeks to acquire maritime aerial border surveillance services to be performed in specific maritime areas of the Mediterranean Sea along Q4 2016 – Q1 2017. The services offered shall include the provision of an RPAS platform, payload, communication equipment, and all the necessary experts managing the system and providing operational support.",,GR,,2017-04-18,contract frontex seek acquire maritime aerial border surveillance service perform specific maritime area mediterranean sea q4 2016 q1 2017 service offer shall include provision rpas platform payload communication equipment necessary expert manage system providing operational support
96,162977-2020,Provision of Medical Services — Pre-recruitment Examination,SERVICES,Provision of Pre-recruitment Medical Examination Services as Defined in the Terms of Reference,1350000.0,PL,['International SOS (Belgium) SPRL'],2020-03-31,provision pre - recruitment medical examination service define term reference
97,170109-2021,Fingerprint Scanner Device,SUPPLIES,The fingerprint scanner device shall be portable and composed of a Tenprint fingers scanner and software capable to perform fingerprint scanning and recording at all types of environments.,350000.0,PL9,['Jas Technologie Sp z oo'],2021-03-30,fingerprint scanner device shall portable compose tenprint finger scanner software capable perform fingerprint scanning recording type environment
98,170109-2021,Combined Document and Fingerprint Scanner Device,SUPPLIES,"Document and fingerprint scanner device composed of a full-page document scanner/reader and software capable to perform optical, electronic, and combined checks for authenticity verification of passports, ID cards, resident permits, visas, stamps and other security documents for document checks and Tenprint fingers scanner and software capable to perform fingerprint scanning and recording at all types of environments.",,PL9,,2021-03-30,document fingerprint scanner device compose page document scanner / reader software capable perform optical electronic combine check authenticity verification passport id card resident permit visa stamp security document document check tenprint finger scanner software capable perform fingerprint scanning recording type environment
99,174119-2021,Research and Innovation Expertise and Technical Advice Support Services,SERVICES,"Research and innovation expertise and technical advice support services, consisting in contracted services for the provision to Frontex of high-quality professional assistance and advice for the efficient and effective management and conduction of its activities, in scientific and technological domains pertaining to the research and innovation thematic areas. The services to be provided shall be content-oriented, not including logistic tasks. These services will deliver expertise and technical advice to support among others: (a) conferences, seminars, meetings and workshops; (b) working groups and networks of stakeholders.",700000.0,PL,"['PWC – Pricewaterhousecoopers EU Services EESV', 'ISDEFE – Ingenieria Sistemas Para la Defensa de Espana']",2021-03-29,research innovation expertise technical advice support service consist contract service provision frontex high quality professional assistance advice efficient effective management conduction activity scientific technological domain pertaining research innovation thematic area service provide shall content orient include logistic task service deliver expertise technical advice support conference seminar meeting workshop b work group network stakeholder
100,174119-2021,"Research and Innovation Studies, Analyses and Evaluations",SERVICES,"Research and innovation studies, analyses and evaluations, consisting in contracted services for the provision to Frontex of high-quality tailored and systematic studies, analyses, evaluations and methodologies in support of its activities, in scientific and technological domains pertaining to the research and innovation thematic Areas. These services might include: (a) research studies; (b) technical studies; (c) technological gap analysis studies; (d) review of research and innovation projects.",2400000.0,PL,"['Deloitte — Deloitte Consulting and Advisory CVBA', 'PWC – Pricewaterhousecoopers EU Services EESV', 'EPRD consortium – Office for Economic Policy and Regional Development']",2021-03-29,research innovation study analysis evaluation consist contract service provision frontex high quality tailor systematic study analysis evaluation methodology support activity scientific technological domain pertain research innovation thematic area service include research study b technical study c technological gap analysis study d review research innovation project
101,174119-2021,Research and Innovation Support to field Activities,SERVICES,"Research and innovation support to field activities, consisting in contracted services for the provision to Frontex of high-quality professional technical assistance for conducting its projects aimed at selecting, testing, validating and establishing novel technological solutions in operational (or near to operational) environments, in technological domains pertaining to the research and innovation thematic areas. Technical activities on-the field, providing hands-on expertise will represent a significant component of these services. These services might include: (a) support to pilot projects; (b) support to technology demonstration projects; (c) support to technical assistance projects; (d) development and implementation of performance assessment methodologies for the operational performance of technological systems.",1400000.0,PL,['PWC — Pricewaterhousecoopers EU Services EESV'],2021-03-29,research innovation support field activity consisting contract service provision frontex high quality professional technical assistance conduct project aim select test validate establishing novel technological solution operational near operational environment technological domain pertaining research innovation thematic area technical activity field provide hand expertise represent significant component service service include support pilot project b support technology demonstration project c support technical assistance project d development implementation performance assessment methodology operational performance technological system
102,175550-2020,MSS with Thermal Camera Based on Van,SUPPLIES,"First specific contracts are expected to be issued by Frontex in 2020. For the total duration of the framework contract, Frontex intends to make an indicative number of orders for 30 vehicles under lot 2.",12000000.0,00,"['Korporacja Wschód Sp. z o.o.', 'Optix SA']",2020-04-08,specific contract expect issue frontex 2020 total duration framework contract frontex intend indicative number order 30 vehicle lot 2
103,176811-2019,Framework Contract for Organisation of Events in Poland,SERVICES,Framework contract for organisation of events in Poland.,6000000.0,PL,['Defacto Sp z oo'],2019-04-09,framework contract organisation event poland
104,17853-2014,Framework contract for maintenance and evolution of the Eurosur network.,SERVICES,"The aim of this framework contract is to evolve the Eurosur network from its pilot phase into a stable service aligned with the Eurosur legislation. Eurosur is a distributed, Web-based, developed in Java and OSS technologies, GIS intensive, information exchange system. It provides a persistent connection between Member States and Frontex using a fully extensible information sharing system to support secure 'information trade' between the corresponding national coordination centres and the national coordination centres and Frontex. Eurosur network is composed of different nodes, with their corresponding hardware and software. Eurosur uses a set of secure peer-to-peer Internet connections that allows its nodes to use services to exchange information on irregular migration and related border crime. The Eurosur Technical Office, providing master services and support to the network and nodes, is an integral part of Eurosur. The maintenance and support of the network as well as its evolution are objectives of this framework. Evolution of the network should be understood as activities including but not limited to: design, development, implementation and deployment of the new functionalities. More specifically, the framework contract shall cover the following main areas: a. Eurosur evolution: — extension of the Eurosur network to new nodes to encompass all current and future Member States, Schengen associated countries and selected EU agencies, — improving system stability & reliability of Eurosur nodes and applications suite, — extending Eurosur nodes accessibility by local users and systems, — development of Eurosur staging and training environments, — enhancement of network security, — enhancement of Eurosur application following usage evolution; b. Eurosur support and maintenance: — daily operation of Eurosur network, — maintenance & support of the Eurosur network and applications suite, — establishment and management of a central spare part stock.",12000000.0,PL127,['GMV Aerospace and Defence S.A.U.'],2014-01-08,aim framework contract evolve eurosur network pilot phase stable service align eurosur legislation eurosur distribute web base develop java oss technology gis intensive information exchange system provide persistent connection member states frontex use fully extensible information sharing system support secure information trade corresponding national coordination centre national coordination centre frontex eurosur network compose different node corresponding hardware software eurosur use set secure peer peer internet connection allow node use service exchange information irregular migration relate border crime eurosur technical office provide master service support network node integral eurosur maintenance support network evolution objective framework evolution network understand activity include limit design development implementation deployment new functionality specifically framework contract shall cover following main area a. eurosur evolution extension eurosur network new node encompass current future member states schengen associate country select eu agency improving system stability & reliability eurosur node application suite extend eurosur node accessibility local user system development eurosur staging training environment enhancement network security enhancement eurosur application follow usage evolution b. eurosur support maintenance daily operation eurosur network maintenance & support eurosur network application suite establishment management central spare stock
105,183485-2015,Software development services,SERVICES,"The scope of the framework contracts with reopening of competition covers: lot 1: software development services, lot 2: system, storage and helpdesk support services.",,PL127,['Asseco Poland S.A.'],2015-05-18,scope framework contract reopening competition cover lot 1 software development service lot 2 system storage helpdesk support service
106,183485-2015,Software development services,SERVICES,"The scope of the framework contracts with reopening of competition covers: lot 1: software development services, lot 2: system, storage and helpdesk support services.",,PL127,['Engineering Ingegneria Informatica S.p.A.'],2015-05-18,scope framework contract reopening competition cover lot 1 software development service lot 2 system storage helpdesk support service
107,183485-2015,Software development services,SERVICES,"The scope of the framework contracts with reopening of competition covers: lot 1: software development services, lot 2: system, storage and helpdesk support services.",,PL127,['GMV Aerospace and Defence SAU'],2015-05-18,scope framework contract reopening competition cover lot 1 software development service lot 2 system storage helpdesk support service
108,183485-2015,"Systems, storage and helpdesk support services",SERVICES,"The scope of the framework contracts with reopening of competition covers: lot 1: software development services, lot 2: system, storage and helpdesk support services.",,PL127,['Asseco Poland S.A.'],2015-05-18,scope framework contract reopening competition cover lot 1 software development service lot 2 system storage helpdesk support service
109,183485-2015,"Systems, storage and helpdesk support services",SERVICES,"The scope of the framework contracts with reopening of competition covers: lot 1: software development services, lot 2: system, storage and helpdesk support services.",,PL127,"['Consortium of AMG.net S.A. (leader), Atos IT Solutions and Services Sp. z o.o. and Bull SAS']",2015-05-18,scope framework contract reopening competition cover lot 1 software development service lot 2 system storage helpdesk support service
